source_row,basin_index,downstream_anchor,upstream_ids_raw,directions_raw,parsed_direction_count,matched_direction_ids,unmatched_direction_tokens,defaulted_to_top,reason_if_defaulted
96,2,J134,"IN162, J133","J133 LEFT, IN162 TOP",2,J_133|IN_162,,false,
97,2,J133,"J132.1, J132","J132 TOP, J132.1 RIGHT",2,J_132|J_132_1,,false,
98,2,J132.1,IN160,IN160 TOP,1,IN_160,,false,
99,2,J132,"J131, J100","J100 RIGHT, J131 TOP",2,J_100|J_131,,false,
100,2,J131,"IN159, J130","IN159 RIGHT, J130 TOP",2,IN_159|J_130,,false,
101,2,J130,"J129, J121","J121 TOP, J129 RIGHT",2,J_121|J_129,,false,
102,2,J129,"IN157, IN158, J128","IN157 LEFT, IN158 RIGHT, J128 TOP",3,IN_157|IN_158|J_128,,false,
103,2,J128,"J127, IN156, IN155","J127 45 DEGREES TOP LEFT, IN156 LEFT, IN155 RIGHT",3,J_127|IN_156|IN_155,,false,
104,2,J127,"J126, J124","J126 45 DEGREES TOP RIGHT, J124 45 DEGREES TOP LEFT",2,J_126|J_124,,false,
105,2,J126,"J125, IN153, IN154","IN154 RIGHT, IN153 LEFT, J125 TOP",3,IN_154|IN_153|J_125,,false,
106,2,J125,IN152,IN152 TOP,1,IN_152,,false,
107,2,J124,"J123, IN151","IN151 LEFT, J123 TOP",2,IN_151|J_123,,false,
108,2,J123,"J122, IN150","IN150 TOP, J122 RIGHT",2,IN_150|J_122,,false,
109,2,J122,"IN148, IN149","IN148 LEFT, IN149 RIGHT",2,IN_148|IN_149,,false,
110,2,J121,"J120, IN147, J119","J119 TOP, J120 LEFT, IN147 RIGHT",3,J_119|J_120|IN_147,,false,
111,2,J120,IN146,IN146 TOP,1,IN_146,,false,
112,2,J119,"J118, J117","J118 RIGHT, J117 TOP",2,J_118|J_117,,false,
113,2,J118,"IN143, IN144, IN145","IN143 TOP, IN145 RIGHT, IN144 LEFT",3,IN_143|IN_145|IN_144,,false,
114,2,J117,"J116, J111, J115","J115 LEFT, J116 RIGHT, J111 TOP",3,J_115|J_116|J_111,,false,
