basin_index,source_row,raw_id,swmm_id,receiving_junction_swmm_id,known_flow_cfs,flow_present,lateral_length_ft,lateral_slope,lateral_diameter_in,rim_elev,invert_elev,notes_applied
,,128.2,IN_128_2,,,false,5,0.002,24,,,uniform lateral assumptions
,399,129,IN_129,,0.5713329291800812,true,5,0.002,24,,,uniform lateral assumptions
,400,129.1,IN_129_1,,0.36067902126037443,true,5,0.002,24,,,uniform lateral assumptions
,,129.2,IN_129_2,,,false,5,0.002,24,,,uniform lateral assumptions
,37,13,IN_13,J_8,0.8749701342901313,true,5,0.002,24,422.0,414.7,uniform lateral assumptions
,404,130,IN_130,,0.34944370782711276,true,5,0.002,24,,,uniform lateral assumptions
,405,130.1,IN_130_1,,0.7378972201623684,true,5,0.002,24,,,uniform lateral assumptions
,,130.2,IN_130_2,,,false,5,0.002,24,,,uniform lateral assumptions
,,130.3,IN_130_3,,,false,5,0.002,24,,,uniform lateral assumptions
,413,130.4,IN_130_4,,0.6942680181996882,true,5,0.002,24,,,uniform lateral assumptions
,414,130.5,IN_130_5,,0.8676970690464261,true,5,0.002,24,,,uniform lateral assumptions
,416,131,IN_131,J_111,7.65664091208228,true,5,0.002,24,396.9,381.7,uniform lateral assumptions
,417,132,IN_132,J_111,8.533324184127533,true,5,0.002,24,396.9,381.7,uniform lateral assumptions
,420,133,IN_133,J_112,0.9651845212239357,true,5,0.002,24,394.57,387.53999999999996,uniform lateral assumptions
,421,134,IN_134,J_112,0.25208707915119605,true,5,0.002,24,394.57,387.53999999999996,uniform lateral assumptions
,423,135,IN_135,J_113,0.4762538388643828,true,5,0.002,24,393.5,386.67,uniform lateral assumptions
,425,136,IN_136,J_113_1,1.8230192526860718,true,5,0.002,24,393.48,386.64,uniform lateral assumptions
,430,137,IN_137,,0.8750501764063501,true,5,0.002,24,,,uniform lateral assumptions
,431,137.1,IN_137_1,,0.5986113120038645,true,5,0.002,24,,,uniform lateral assumptions
,434,138,IN_138,,1.9617903873444142,true,5,0.002,24,,,uniform lateral assumptions
,436,139,IN_139,,2.5542244097188487,true,5,0.002,24,,,uniform lateral assumptions
,427,140,IN_140,,2.5974098348308905,true,5,0.002,24,,,uniform lateral assumptions
,440,141,IN_141,,3.219089144196915,true,5,0.002,24,,,uniform lateral assumptions
,444,143,IN_143,J_118,1.0376475889814438,true,5,0.002,24,393.65,383.59,uniform lateral assumptions
,445,144,IN_144,J_118,1.0070165533597513,true,5,0.002,24,393.65,383.59,uniform lateral assumptions
,446,145,IN_145,J_118,0.9140003134030443,true,5,0.002,24,393.65,383.59,uniform lateral assumptions
,450,146,IN_146,J_120,1.6833809352680504,true,5,0.002,24,392.15,385.14,uniform lateral assumptions
,452,147,IN_147,J_121,2.7305407293570196,true,5,0.002,24,392.8,380.09,uniform lateral assumptions
,455,148,IN_148,J_122,0.0,true,5,0.002,24,402.03,395.96,uniform lateral assumptions
,456,149,IN_149,J_122,6.93768038398964,true,5,0.002,24,402.03,395.96,uniform lateral assumptions
,40,15,IN_15,J_11,1.5483829151967672,true,5,0.002,24,417.6,409.24,uniform lateral assumptions
,458,150,IN_150,J_123,1.8219220724225729,true,5,0.002,24,401.51,393.86,uniform lateral assumptions
,460,151,IN_151,J_124,0.9067460392306969,true,5,0.002,24,400.44,390.8,uniform lateral assumptions
,463,152,IN_152,J_125,1.8648034521387458,true,5,0.002,24,394.71,387.14,uniform lateral assumptions
,465,153,IN_153,J_126,4.649063981864076,true,5,0.002,24,394.49,386.90999999999997,uniform lateral assumptions
,466,154,IN_154,J_126,0.8174744530324635,true,5,0.002,24,394.49,386.90999999999997,uniform lateral assumptions
,469,155,IN_155,J_128,0.7278686689058472,true,5,0.002,24,392.93,383.07,uniform lateral assumptions
,470,156,IN_156,J_128,2.2980373214901535,true,5,0.002,24,392.93,383.07,uniform lateral assumptions
,472,157,IN_157,J_129,2.0992183868415166,true,5,0.002,24,391.6,381.7,uniform lateral assumptions
,473,158,IN_158,J_129,2.73819908653186,true,5,0.002,24,391.6,381.7,uniform lateral assumptions
,476,159,IN_159,J_131,0.7505946548736029,true,5,0.002,24,390.92,378.82,uniform lateral assumptions
,43,16,IN_16,J_12,0.8132867064221618,true,5,0.002,24,419.78,412.7,uniform lateral assumptions
,480,160,IN_160,J_132_1,3.972467095812928,true,5,0.002,24,388.82,378.73,uniform lateral assumptions
,488,161,IN_161,J_134_1,0.21328506117211926,true,5,0.002,24,387.0,377.36,uniform lateral assumptions
,483,162,IN_162,,4.231421156889631,true,5,0.002,24,,,uniform lateral assumptions
,493,163,IN_163,J_135,2.9030708929392315,true,5,0.002,24,390.12,382.48,uniform lateral assumptions
,498,164,IN_164,,2.466020784235071,true,5,0.002,24,,,uniform lateral assumptions
,499,165,IN_165,,0.44491252733499087,true,5,0.002,24,,,uniform lateral assumptions
,502,165.1,IN_165_1,,1.8212520321959202,true,5,0.002,24,,,uniform lateral assumptions
,504,165.2,IN_165_2,,0.6548849956121274,true,5,0.002,24,,,uniform lateral assumptions
,506,165.3,IN_165_3,,1.2141913915747131,true,5,0.002,24,,,uniform lateral assumptions
,508,165.4,IN_165_4,,2.2957328536579698,true,5,0.002,24,,,uniform lateral assumptions
,510,165.5,IN_165_5,,1.020752892827949,true,5,0.002,24,,,uniform lateral assumptions
,513,165.6,IN_165_6,,1.0008875418867056,true,5,0.002,24,,,uniform lateral assumptions
,514,165.7,IN_165_7,,0.5964069111204582,true,5,0.002,24,,,uniform lateral assumptions
,517,165.8,IN_165_8,,0.38907850364660623,true,5,0.002,24,,,uniform lateral assumptions
,518,165.9,IN_165_9,,0.9111650467424932,true,5,0.002,24,,,uniform lateral assumptions
,522,166,IN_166,,1.8364106357138823,true,5,0.002,24,,,uniform lateral assumptions
,523,166.1,IN_166_1,,2.5427696603777856,true,5,0.002,24,,,uniform lateral assumptions
,525,166.2,IN_166_2,,1.7932010327889938,true,5,0.002,24,,,uniform lateral assumptions
,528,167,IN_167,J_138,1.7034949293823063,true,5,0.002,24,392.06,384.51,uniform lateral assumptions
,529,168,IN_168,J_138,1.7791918779034674,true,5,0.002,24,392.06,384.51,uniform lateral assumptions
,532,169,IN_169,J_139,0.7434562890195083,true,5,0.002,24,390.92,384.15,uniform lateral assumptions
,45,17,IN_17,J_13,0.6324456503683936,true,5,0.002,24,418.37,411.89,uniform lateral assumptions
,533,170,IN_170,J_139,0.5388099919851327,true,5,0.002,24,390.92,384.15,uniform lateral assumptions
,535,171,IN_171,J_140,0.2491205620774815,true,5,0.002,24,390.53,383.82,uniform lateral assumptions
,537,172,IN_172,J_141,1.8708502963264813,true,5,0.002,24,389.7,383.40999999999997,uniform lateral assumptions
,538,173,IN_173,J_141,3.789346786472382,true,5,0.002,24,389.7,383.40999999999997,uniform lateral assumptions
,541,174,IN_174,J_142,1.426653779292424,true,5,0.002,24,392.5,386.5,uniform lateral assumptions
,545,175,IN_175,J_144,2.0403361674368874,true,5,0.002,24,388.05,382.18,uniform lateral assumptions
,546,176,IN_176,J_144,1.0276913883277645,true,5,0.002,24,388.05,382.18,uniform lateral assumptions
,548,177,IN_177,J_145,0.48304544611077216,true,5,0.002,24,388.56,381.67,uniform lateral assumptions
,551,178,IN_178,J_146,0.757821068228682,true,5,0.002,24,394.07,388.25,uniform lateral assumptions
,553,179,IN_179,J_147,0.42983986411650027,true,5,0.002,24,394.07,385.89,uniform lateral assumptions
,48,18,IN_18,J_14,0.8165285246647667,true,5,0.002,24,417.61,409.89,uniform lateral assumptions
,556,180,IN_180,J_148,0.4271219013622744,true,5,0.002,24,393.27,386.83,uniform lateral assumptions
,558,181,IN_181,J_149,0.4298119574160483,true,5,0.002,24,393.84,386.23,uniform lateral assumptions
,560,182,IN_182,J_150,2.5411807436016796,true,5,0.002,24,389.02,381.77,uniform lateral assumptions
,562,183,IN_183,J_151,0.6913705586118372,true,5,0.002,24,387.92,380.59999999999997,uniform lateral assumptions
,563,184,IN_184,J_151,0.7356003798477763,true,5,0.002,24,387.92,380.59999999999997,uniform lateral assumptions
,566,185,IN_185,J_152,0.9946567602580566,true,5,0.002,24,387.15,380.77,uniform lateral assumptions
,567,186,IN_186,J_152,1.1613241340464364,true,5,0.002,24,387.15,380.77,uniform lateral assumptions
,568,187,IN_187,J_152,1.2986481043175941,true,5,0.002,24,387.15,380.77,uniform lateral assumptions
,570,188,IN_188,J_153,1.3494959157235615,true,5,0.002,24,388.17,380.5,uniform lateral assumptions
,573,189,IN_189,J_154,0.8782869050065322,true,5,0.002,24,387.56,380.03,uniform lateral assumptions
,52,19,IN_19,J_16,3.3100805540796805,true,5,0.002,24,416.46,410.63,uniform lateral assumptions
,574,190,IN_190,J_154,0.7359294402543963,true,5,0.002,24,387.56,380.03,uniform lateral assumptions
,576,191,IN_191,J_155,0.6360729487148405,true,5,0.002,24,387.63,379.96999999999997,uniform lateral assumptions
,578,192,IN_192,J_156,0.7168799776786239,true,5,0.002,24,387.19,378.19,uniform lateral assumptions
,579,193,IN_193,J_156,1.3661541539783952,true,5,0.002,24,387.19,378.19,uniform lateral assumptions
,12,2,IN_2,J_1,4.1623129978363425,true,5,0.002,24,427.61,421.14,uniform lateral assumptions
,53,20,IN_20,J_16,2.0733253248022447,true,5,0.002,24,416.46,410.63,uniform lateral assumptions
,56,21,IN_21,J_17,1.735009898310502,true,5,0.002,24,419.56,409.55,uniform lateral assumptions
,57,22,IN_22,J_17,1.5299632739647155,true,5,0.002,24,419.56,409.55,uniform lateral assumptions
,61,23,IN_23,J_19,1.7268514007252302,true,5,0.002,24,414.36,407.78999999999996,uniform lateral assumptions
,62,24,IN_24,J_19,0.6746511577273973,true,5,0.002,24,414.36,407.78999999999996,uniform lateral assumptions
,65,25,IN_25,J_21,1.3899754378809268,true,5,0.002,24,413.1,406.21,uniform lateral assumptions
,68,26,IN_26,J_22,0.7217708647318279,true,5,0.002,24,415.05,405.55,uniform lateral assumptions
,69,27,IN_27,J_22,1.3586144104053792,true,5,0.002,24,415.05,405.55,uniform lateral assumptions
,73,28,IN_28,J_24,0.3100157335225202,true,5,0.002,24,413.15,405.37,uniform lateral assumptions
,74,29,IN_29,J_24,0.42601543529615793,true,5,0.002,24,413.15,405.37,uniform lateral assumptions
,15,3,IN_3,J_2,7.744274051182544,true,5,0.002,24,428.5,420.37,uniform lateral assumptions
,77,30,IN_30,J_26,1.3737475912504429,true,5,0.002,24,413.76,404.08,uniform lateral assumptions
,80,30.1,IN_30_1,J_26_1,0.29034582905338635,true,5,0.002,24,415.3,407.34,uniform lateral assumptions
,82,31,IN_31,J_27,4.29933900054389,true,5,0.002,24,414.47,407.96,uniform lateral assumptions
,84,32,IN_32,J_27_1,3.5594847807229306,true,5,0.002,24,414.52,406.76,uniform lateral assumptions
,86,33,IN_33,J_28,1.2969654339836414,true,5,0.002,24,414.17,403.86,uniform lateral assumptions
,90,34,IN_34,J_30,1.8635910682297303,true,5,0.002,24,411.61,403.99,uniform lateral assumptions
,94,35,IN_35,J_32,1.0729411516809486,true,5,0.002,24,412.5,405.18,uniform lateral assumptions
,95,36,IN_36,J_32,0.583829421760585,true,5,0.002,24,412.5,405.18,uniform lateral assumptions
,98,37,IN_37,J_33,1.525477929007616,true,5,0.002,24,413.01,404.77,uniform lateral assumptions
,101,38,IN_38,J_35,0.5955215452504522,true,5,0.002,24,410.59,402.39,uniform lateral assumptions
,104,39,IN_39,,2.4392117065135954,true,5,0.002,24,,,uniform lateral assumptions
,108,40,IN_40,J_38,0.8210230500456258,true,5,0.002,24,409.77,400.89,uniform lateral assumptions
,109,41,IN_41,J_38,1.0354229000290083,true,5,0.002,24,409.77,400.89,uniform lateral assumptions
,113,42,IN_42,J_40,2.8622791851047085,true,5,0.002,24,409.79,402.61,uniform lateral assumptions
,115,43,IN_43,J_41,1.541798301080851,true,5,0.002,24,408.5,400.01,uniform lateral assumptions
,116,43.1,IN_43_1,J_41,0.5156856126775066,true,5,0.002,24,408.5,400.01,uniform lateral assumptions
,120,44,IN_44,J_43,2.0194452474803106,true,5,0.002,24,414.99,408.27,uniform lateral assumptions
,122,45,IN_45,J_44,1.683122349704686,true,5,0.002,24,413.02,406.13,uniform lateral assumptions
,124,46,IN_46,J_45,1.6207943428780207,true,5,0.002,24,410.4,405.03,uniform lateral assumptions
,126,47,IN_47,J_46,0.41107403101007545,true,5,0.002,24,410.63,404.65999999999997,uniform lateral assumptions
,129,48,IN_48,J_47,5.892812894806455,true,5,0.002,24,408.5,401.53999999999996,uniform lateral assumptions
,130,49,IN_49,J_47,2.3645939216976855,true,5,0.002,24,408.5,401.53999999999996,uniform lateral assumptions
,17,5,IN_5,J_3,1.7244844492880644,true,5,0.002,24,426.82,418.96999999999997,uniform lateral assumptions
,133,50,IN_50,J_49,3.3438138821475194,true,5,0.002,24,406.8,398.88,uniform lateral assumptions
,136,51,IN_51,J_50,4.518129366224517,true,5,0.002,24,407.0,400.15999999999997,uniform lateral assumptions
,140,52,IN_52,J_52,2.9057228366575703,true,5,0.002,24,406.15,397.8,uniform lateral assumptions
,141,52.1,IN_52_1,J_52,1.1018345814309094,true,5,0.002,24,406.15,397.8,uniform lateral assumptions
,142,53,IN_53,J_52,1.0059747769003387,true,5,0.002,24,406.15,397.8,uniform lateral assumptions
,145,54,IN_54,J_54,3.033616783722474,true,5,0.002,24,404.67,396.63,uniform lateral assumptions
,146,55,IN_55,J_54,1.5273032609818076,true,5,0.002,24,404.67,396.63,uniform lateral assumptions
,149,56,IN_56,,0.5633595205087099,true,5,0.002,24,,,uniform lateral assumptions
,150,56.1,IN_56_1,,2.311515269032413,true,5,0.002,24,,,uniform lateral assumptions
,152,57,IN_57,J_57,2.0546890350778435,true,5,0.002,24,404.82,396.44,uniform lateral assumptions
,20,6,IN_6,,0.30273685961289243,true,5,0.002,24,,,uniform lateral assumptions
,155,60,IN_60,J_61,3.331927996968019,true,5,0.002,24,404.82,396.96,uniform lateral assumptions
,156,61,IN_61,J_61,9.200637380142668,true,5,0.002,24,404.82,396.96,uniform lateral assumptions
,159,62,IN_62,J_63,1.5343735408320234,true,5,0.002,24,404.69,392.74,uniform lateral assumptions
,160,63,IN_63,J_63,2.592860625971888,true,5,0.002,24,404.69,392.74,uniform lateral assumptions
,162,66,IN_66,J_65,9.069634853467164,true,5,0.002,24,405.0,365.3,uniform lateral assumptions
,163,67,IN_67,J_65,11.35342703384326,true,5,0.002,24,405.0,365.3,uniform lateral assumptions
,21,6.1,IN_6_1,,0.6956752657724388,true,5,0.002,24,,,uniform lateral assumptions
,22,7,IN_7,,1.525194147684378,true,5,0.002,24,,,uniform lateral assumptions
,165,74,IN_74,,0.6759285369976619,true,5,0.002,24,,,uniform lateral assumptions
,166,75,IN_75,,1.9549318032725498,true,5,0.002,24,,,uniform lateral assumptions
,,75.1,IN_75_1,,,false,5,0.002,24,,,uniform lateral assumptions
,170,75.2,IN_75_2,,0.996263619555813,true,5,0.002,24,,,uniform lateral assumptions
,172,75.25,IN_75_25,,3.1988517653305557,true,5,0.002,24,,,uniform lateral assumptions
,176,75.3,IN_75_3,,2.460948763041774,true,5,0.002,24,,,uniform lateral assumptions
,,75.4,IN_75_4,,,false,5,0.002,24,,,uniform lateral assumptions
