basin_index,from_raw,from_swmm_id,to_raw,to_swmm_id,edge_type,parsed_successfully,built_successfully,blocker_reason,direction_token_used,source_branch_logic_row
1,IN23,IN_23,J19,J_19,IJ,true,true,,TOP,74
1,IN24,IN_24,J19,J_19,IJ,true,true,,TOP,74
1,J17,J_17,J18,J_18,JJ,true,true,,TOP,75
1,IN22,IN_22,J17,J_17,IJ,true,true,,TOP,76
1,IN21,IN_21,J17,J_17,IJ,true,true,,TOP,76
1,IN19,IN_19,J16,J_16,IJ,true,true,,TOP,77
1,IN20,IN_20,J16,J_16,IJ,true,true,,TOP,77
1,J14,J_14,J15,J_15,JJ,true,true,,TOP,78
1,J13,J_13,J15,J_15,JJ,true,true,,TOP,78
1,J12,J_12,J13,J_13,JJ,true,true,,TOP,80
1,IN15,IN_15,J11,J_11,IJ,true,true,,TOP,82
1,J8,J_8,J9,J_9,JJ,true,true,,TOP,83
1,IN12,IN_12,J8,J_8,IJ,true,true,,TOP,84
1,IN13,IN_13,J8,J_8,IJ,true,true,,TOP,84
1,J7,J_7,J7.1,J_7_1,JJ,true,true,,TOP,85
1,IN10,IN_10,J6.1,J_6_1,IJ,true,true,,TOP,87
1,J5,J_5,J6,J_6,JJ,true,true,,TOP,88
1,J3,J_3,J6,J_6,JJ,true,true,,TOP,88
1,IN8,IN_8,J5,J_5,IJ,true,true,,TOP,89
1,IN6,IN_6,J4.1,J_4_1,IJ,true,false,missing_junction_source,TOP,90
1,IN7,IN_7,J4.1,J_4_1,IJ,true,false,missing_junction_source,TOP,90
1,J2,J_2,J3,J_3,JJ,true,true,,TOP,91
1,IN3,IN_3,J2,J_2,IJ,true,true,,TOP,92
1,IN1,IN_1,J1,J_1,IJ,true,true,,TOP,93
1,IN2,IN_2,J1,J_1,IJ,true,true,,TOP,93
2,J133,J_133,J134,J_134,JJ,true,true,,TOP,96
2,J132.1,J_132_1,J133,J_133,JJ,true,true,,TOP,97
2,J100,J_100,J132,J_132,JJ,true,true,,TOP,99
2,IN159,IN_159,J131,J_131,IJ,true,true,,TOP,100
2,J129,J_129,J130,J_130,JJ,true,true,,TOP,101
2,IN157,IN_157,J129,J_129,IJ,true,true,,TOP,102
2,IN158,IN_158,J129,J_129,IJ,true,true,,TOP,102
2,J127,J_127,J128,J_128,JJ,true,true,,TOP,103
2,IN156,IN_156,J128,J_128,IJ,true,true,,TOP,103
2,IN155,IN_155,J128,J_128,IJ,true,true,,TOP,103
